"id","type","attributes","relationships","meta"
"1076824","attendee","{""pitch"":""Hi, excited to be connected for possibilities. "",""joined-at"":""2022-09-30T08:34:18.188Z"",""skip-networking"":false,""user-id"":""944240"",""bookmarked"":false}","{""user"":{""data"":{""id"":""944240"",""type"":""user""}},""event"":{""data"":{""id"":""6280"",""type"":""event""}},""group"":{""data"":{""id"":""13032"",""type"":""attendee-group""}},""selected-interests"":{""data"":[{""id"":""6996748"",""type"":""selected-interest""},{""id"":""6996747"",""type"":""selected-interest""},{""id"":""6996745"",""type"":""selected-interest""},{""id"":""6996744"",""type"":""selected-interest""},{""id"":""6996742"",""type"":""selected-interest""},{""id"":""6996740"",""type"":""selected-interest""},{""id"":""6996739"",""type"":""selected-interest""},{""id"":""6996734"",""type"":""selected-interest""},{""id"":""6996733"",""type"":""selected-interest""},{""id"":""6996732"",""type"":""selected-interest""},{""id"":""6996731"",""type"":""selected-interest""}]},""sponsors"":{""data"":[]},""selected-sponsor"":{""data"":null}}",
"1075481","attendee","{""pitch"":""Hihi"",""joined-at"":""2022-09-28T09:25:20.777Z"",""skip-networking"":false,""user-id"":""930494"",""bookmarked"":false}","{""user"":{""data"":{""id"":""930494"",""type"":""user""}},""event"":{""data"":{""id"":""6280"",""type"":""event""}},""group"":{""data"":{""id"":""12824"",""type"":""attendee-group""}},""selected-interests"":{""data"":[{""id"":""6986438"",""type"":""selected-interest""}]},""sponsors"":{""data"":[]},""selected-sponsor"":{""data"":null}}",
"1059673","attendee","{""pitch"":""Hi! I would like to meet new people at this event."",""joined-at"":""2022-09-19T07:32:53.290Z"",""skip-networking"":false,""user-id"":""930968"",""bookmarked"":false}","{""user"":{""data"":{""id"":""930968"",""type"":""user""}},""event"":{""data"":{""id"":""6280"",""type"":""event""}},""group"":{""data"":{""id"":""13035"",""type"":""attendee-group""}},""selected-interests"":{""data"":[{""id"":""6912864"",""type"":""selected-interest""},{""id"":""6912862"",""type"":""selected-interest""},{""id"":""6912859"",""type"":""selected-interest""},{""id"":""6912858"",""type"":""selected-interest""},{""id"":""6863259"",""type"":""selected-interest""},{""id"":""6863255"",""type"":""selected-interest""},{""id"":""6863251"",""type"":""selected-interest""},{""id"":""6863250"",""type"":""selected-interest""}]},""sponsors"":{""data"":[]},""selected-sponsor"":{""data"":null}}",
"1066522","attendee","{""pitch"":""Hi! I Olivia, im the cofounder and CFO of Mediainovasi Indonesia. We are providing the best and reliable Human Resource Management System based in Indonesia. I would love to meet new people and learn about fundraising to speed up our company growth. "",""joined-at"":""2022-09-21T02:23:38.523Z"",""skip-networking"":false,""user-id"":""936632"",""bookmarked"":false}","{""user"":{""data"":{""id"":""936632"",""type"":""user""}},""event"":{""data"":{""id"":""6280"",""type"":""event""}},""group"":{""data"":{""id"":""13032"",""type"":""attendee-group""}},""selected-interests"":{""data"":[{""id"":""6920094"",""type"":""selected-interest""},{""id"":""6919095"",""type"":""selected-interest""},{""id"":""6919092"",""type"":""selected-interest""},{""id"":""6919085"",""type"":""selected-interest""},{""id"":""6919076"",""type"":""selected-interest""},{""id"":""6919074"",""type"":""selected-interest""},{""id"":""6919065"",""type"":""selected-interest""},{""id"":""6919048"",""type"":""selected-interest""},{""id"":""6919040"",""type"":""selected-interest""},{""id"":""6919028"",""type"":""selected-interest""},{""id"":""6919024"",""type"":""selected-interest""},{""id"":""6919011"",""type"":""selected-interest""},{""id"":""6919008"",""type"":""selected-interest""},{""id"":""6918994"",""type"":""selected-interest""},{""id"":""6918989"",""type"":""selected-interest""},{""id"":""6918967"",""type"":""selected-interest""},{""id"":""6918962"",""type"":""selected-interest""},{""id"":""6918950"",""type"":""selected-interest""},{""id"":""6918946"",""type"":""selected-interest""},{""id"":""6918937"",""type"":""selected-interest""},{""id"":""6918899"",""type"":""selected-interest""}]},""sponsors"":{""data"":[]},""selected-sponsor"":{""data"":null}}",
"1065420","attendee","{""pitch"":""Hi! I provide seed funding up to USD 1MM from my family office."",""joined-at"":""2022-09-20T16:24:33.285Z"",""skip-networking"":false,""user-id"":""935603"",""bookmarked"":false}","{""user"":{""data"":{""id"":""935603"",""type"":""user""}},""event"":{""data"":{""id"":""6280"",""type"":""event""}},""group"":{""data"":{""id"":""13035"",""type"":""attendee-group""}},""selected-interests"":{""data"":[{""id"":""6907455"",""type"":""selected-interest""},{""id"":""6907454"",""type"":""selected-interest""},{""id"":""6907450"",""type"":""selected-interest""},{""id"":""6907449"",""type"":""selected-interest""},{""id"":""6907445"",""type"":""selected-interest""},{""id"":""6907444"",""type"":""selected-interest""},{""id"":""6907443"",""type"":""selected-interest""},{""id"":""6907442"",""type"":""selected-interest""},{""id"":""6907438"",""type"":""selected-interest""},{""id"":""6907437"",""type"":""selected-interest""},{""id"":""6907434"",""type"":""selected-interest""},{""id"":""6907433"",""type"":""selected-interest""},{""id"":""6907432"",""type"":""selected-interest""},{""id"":""6907431"",""type"":""selected-interest""},{""id"":""6907424"",""type"":""selected-interest""},{""id"":""6907420"",""type"":""selected-interest""},{""id"":""6907418"",""type"":""selected-interest""},{""id"":""6907415"",""type"":""selected-interest""},{""id"":""6907412"",""type"":""selected-interest""},{""id"":""6907408"",""type"":""selected-interest""},{""id"":""6907404"",""type"":""selected-interest""},{""id"":""6907402"",""type"":""selected-interest""},{""id"":""6907397"",""type"":""selected-interest""},{""id"":""6907396"",""type"":""selected-interest""},{""id"":""6907391"",""type"":""selected-interest""},{""id"":""6907387"",""type"":""selected-interest""},{""id"":""6907386"",""type"":""selected-interest""},{""id"":""6907382"",""type"":""selected-interest""},{""id"":""6907381"",""type"":""selected-interest""},{""id"":""6907377"",""type"":""selected-interest""},{""id"":""6907376"",""type"":""selected-interest""},{""id"":""6907371"",""type"":""selected-interest""},{""id"":""6907370"",""type"":""selected-interest""},{""id"":""6907368"",""type"":""selected-interest""},{""id"":""6907367"",""type"":""selected-interest""},{""id"":""6907364"",""type"":""selected-interest""},{""id"":""6907363"",""type"":""selected-interest""},{""id"":""6907357"",""type"":""selected-interest""},{""id"":""6907356"",""type"":""selected-interest""},{""id"":""6907351"",""type"":""selected-interest""},{""id"":""6907350"",""type"":""selected-interest""},{""id"":""6907344"",""type"":""selected-interest""},{""id"":""6907343"",""type"":""selected-interest""},{""id"":""6907340"",""type"":""selected-interest""},{""id"":""6907339"",""type"":""selected-interest""},{""id"":""6907332"",""type"":""selected-interest""},{""id"":""6907331"",""type"":""selected-interest""},{""id"":""6907327"",""type"":""selected-interest""},{""id"":""6907326"",""type"":""selected-interest""},{""id"":""6907324"",""type"":""selected-interest""},{""id"":""6907323"",""type"":""selected-interest""},{""id"":""6907319"",""type"":""selected-interest""},{""id"":""6907318"",""type"":""selected-interest""},{""id"":""6907317"",""type"":""selected-interest""},{""id"":""6907316"",""type"":""selected-interest""},{""id"":""6907298"",""type"":""selected-interest""},{""id"":""6907294"",""type"":""selected-interest""},{""id"":""6907293"",""type"":""selected-interest""},{""id"":""6907286"",""type"":""selected-interest""},{""id"":""6907285"",""type"":""selected-interest""},{""id"":""6907283"",""type"":""selected-interest""},{""id"":""6907282"",""type"":""selected-interest""}]},""sponsors"":{""data"":[]},""selected-sponsor"":{""data"":null}}",
"1062304","attendee","{""pitch"":""Hi! I'm from Krux Asia, a venture building and consulting platform centred around helping businesses and startups achieve scale through the provision of advisory and fund-raising services. Let's connect and chat about potential collaborations."",""joined-at"":""2022-09-20T06:04:53.952Z"",""skip-networking"":false,""user-id"":""933084"",""bookmarked"":false}","{""user"":{""data"":{""id"":""933084"",""type"":""user""}},""event"":{""data"":{""id"":""6280"",""type"":""event""}},""group"":{""data"":{""id"":""13034"",""type"":""attendee-group""}},""selected-interests"":{""data"":[{""id"":""6889499"",""type"":""selected-interest""},{""id"":""6889496"",""type"":""selected-interest""},{""id"":""6889495"",""type"":""selected-interest""},{""id"":""6889494"",""type"":""selected-interest""},{""id"":""6889491"",""type"":""selected-interest""},{""id"":""6889489"",""type"":""selected-interest""},{""id"":""6889486"",""type"":""selected-interest""},{""id"":""6889478"",""type"":""selected-interest""},{""id"":""6889475"",""type"":""selected-interest""},{""id"":""6889473"",""type"":""selected-interest""},{""id"":""6889470"",""type"":""selected-interest""},{""id"":""6889468"",""type"":""selected-interest""},{""id"":""6889466"",""type"":""selected-interest""},{""id"":""6889463"",""type"":""selected-interest""},{""id"":""6889460"",""type"":""selected-interest""},{""id"":""6889456"",""type"":""selected-interest""},{""id"":""6889453"",""type"":""selected-interest""},{""id"":""6889451"",""type"":""selected-interest""},{""id"":""6889447"",""type"":""selected-interest""},{""id"":""6889436"",""type"":""selected-interest""},{""id"":""6889431"",""type"":""selected-interest""},{""id"":""6889428"",""type"":""selected-interest""},{""id"":""6889424"",""type"":""selected-interest""},{""id"":""6889422"",""type"":""selected-interest""},{""id"":""6889408"",""type"":""selected-interest""},{""id"":""6889392"",""type"":""selected-interest""},{""id"":""6889385"",""type"":""selected-interest""},{""id"":""6889384"",""type"":""selected-interest""},{""id"":""6889375"",""type"":""selected-interest""},{""id"":""6889374"",""type"":""selected-interest""},{""id"":""6889370"",""type"":""selected-interest""},{""id"":""6889369"",""type"":""selected-interest""},{""id"":""6889364"",""type"":""selected-interest""},{""id"":""6889363"",""type"":""selected-interest""},{""id"":""6889360"",""type"":""selected-interest""},{""id"":""6889359"",""type"":""selected-interest""},{""id"":""6889353"",""type"":""selected-interest""},{""id"":""6889352"",""type"":""selected-interest""},{""id"":""6889347"",""type"":""selected-interest""},{""id"":""6889346"",""type"":""selected-interest""},{""id"":""6889340"",""type"":""selected-interest""},{""id"":""6889339"",""type"":""selected-interest""},{""id"":""6889335"",""type"":""selected-interest""},{""id"":""6889334"",""type"":""selected-interest""},{""id"":""6889327"",""type"":""selected-interest""},{""id"":""6889326"",""type"":""selected-interest""},{""id"":""6889324"",""type"":""selected-interest""},{""id"":""6889323"",""type"":""selected-interest""},{""id"":""6889320"",""type"":""selected-interest""},{""id"":""6889319"",""type"":""selected-interest""},{""id"":""6889316"",""type"":""selected-interest""},{""id"":""6889315"",""type"":""selected-interest""},{""id"":""6889312"",""type"":""selected-interest""},{""id"":""6889311"",""type"":""selected-interest""},{""id"":""6889307"",""type"":""selected-interest""},{""id"":""6889306"",""type"":""selected-interest""},{""id"":""6889301"",""type"":""selected-interest""},{""id"":""6889300"",""type"":""selected-interest""},{""id"":""6889297"",""type"":""selected-interest""},{""id"":""6889296"",""type"":""selected-interest""},{""id"":""6889288"",""type"":""selected-interest""},{""id"":""6889287"",""type"":""selected-interest""},{""id"":""6889277"",""type"":""selected-interest""},{""id"":""6889271"",""type"":""selected-interest""},{""id"":""6889264"",""type"":""selected-interest""},{""id"":""6889263"",""type"":""selected-interest""},{""id"":""6889260"",""type"":""selected-interest""},{""id"":""6889259"",""type"":""selected-interest""},{""id"":""6889256"",""type"":""selected-interest""},{""id"":""6889255"",""type"":""selected-interest""},{""id"":""6889253"",""type"":""selected-interest""},{""id"":""6889252"",""type"":""selected-interest""},{""id"":""6889250"",""type"":""selected-interest""},{""id"":""6889249"",""type"":""selected-interest""},{""id"":""6889234"",""type"":""selected-interest""},{""id"":""6889230"",""type"":""selected-interest""},{""id"":""6889227"",""type"":""selected-interest""},{""id"":""6889222"",""type"":""selected-interest""},{""id"":""6889218"",""type"":""selected-interest""},{""id"":""6889200"",""type"":""selected-interest""},{""id"":""6889199"",""type"":""selected-interest""},{""id"":""6889194"",""type"":""selected-interest""},{""id"":""6889193"",""type"":""selected-interest""},{""id"":""6889183"",""type"":""selected-interest""},{""id"":""6889182"",""type"":""selected-interest""}]},""sponsors"":{""data"":[]},""selected-sponsor"":{""data"":null}}",
"1063074","attendee","{""pitch"":""Hi there, my team at the Singapore Economic Development Board (EDB) helps Southeast Asian startups and companies expand globally, using Singapore as a launchpad. Connect with me to learn about how the EDB can support your growth through government support schemes and programs."",""joined-at"":""2022-09-20T07:46:53.656Z"",""skip-networking"":false,""user-id"":""933733"",""bookmarked"":false}","{""user"":{""data"":{""id"":""933733"",""type"":""user""}},""event"":{""data"":{""id"":""6280"",""type"":""event""}},""group"":{""data"":{""id"":""13034"",""type"":""attendee-group""}},""selected-interests"":{""data"":[{""id"":""6891824"",""type"":""selected-interest""},{""id"":""6891822"",""type"":""selected-interest""},{""id"":""6891818"",""type"":""selected-interest""},{""id"":""6891814"",""type"":""selected-interest""},{""id"":""6891812"",""type"":""selected-interest""},{""id"":""6891809"",""type"":""selected-interest""},{""id"":""6891807"",""type"":""selected-interest""},{""id"":""6891803"",""type"":""selected-interest""},{""id"":""6891801"",""type"":""selected-interest""},{""id"":""6891798"",""type"":""selected-interest""},{""id"":""6891795"",""type"":""selected-interest""},{""id"":""6891790"",""type"":""selected-interest""},{""id"":""6891783"",""type"":""selected-interest""},{""id"":""6891777"",""type"":""selected-interest""},{""id"":""6891773"",""type"":""selected-interest""},{""id"":""6891770"",""type"":""selected-interest""},{""id"":""6891764"",""type"":""selected-interest""},{""id"":""6891758"",""type"":""selected-interest""},{""id"":""6891754"",""type"":""selected-interest""},{""id"":""6891751"",""type"":""selected-interest""},{""id"":""6891749"",""type"":""selected-interest""},{""id"":""6891745"",""type"":""selected-interest""},{""id"":""6891741"",""type"":""selected-interest""}]},""sponsors"":{""data"":[]},""selected-sponsor"":{""data"":null}}",
"1067497","attendee","{""pitch"":""Hi! I am the founder of a crypto payment gateway start up. We aim to disrupt the market with transaction fees below 1% and low KYC requirements. We will help merchants comply crypto payment regulations by enabling them receive crypto payments in fiat. Currently seeking funding. "",""joined-at"":""2022-09-21T06:14:29.180Z"",""skip-networking"":false,""user-id"":""937598"",""bookmarked"":false}","{""user"":{""data"":{""id"":""937598"",""type"":""user""}},""event"":{""data"":{""id"":""6280"",""type"":""event""}},""group"":{""data"":{""id"":""13034"",""type"":""attendee-group""}},""selected-interests"":{""data"":[{""id"":""6927380"",""type"":""selected-interest""},{""id"":""6927379"",""type"":""selected-interest""},{""id"":""6927372"",""type"":""selected-interest""},{""id"":""6927370"",""type"":""selected-interest""},{""id"":""6927354"",""type"":""selected-interest""},{""id"":""6927340"",""type"":""selected-interest""},{""id"":""6927336"",""type"":""selected-interest""},{""id"":""6927335"",""type"":""selected-interest""},{""id"":""6927331"",""type"":""selected-interest""},{""id"":""6927330"",""type"":""selected-interest""},{""id"":""6927325"",""type"":""selected-interest""},{""id"":""6927324"",""type"":""selected-interest""}]},""sponsors"":{""data"":[]},""selected-sponsor"":{""data"":null}}",
"1066476","attendee","{""pitch"":""Hi! I would like to meet new people at this event."",""joined-at"":""2022-09-21T02:15:58.876Z"",""skip-networking"":false,""user-id"":""936583"",""bookmarked"":false}","{""user"":{""data"":{""id"":""936583"",""type"":""user""}},""event"":{""data"":{""id"":""6280"",""type"":""event""}},""group"":{""data"":{""id"":""13035"",""type"":""attendee-group""}},""selected-interests"":{""data"":[{""id"":""6918443"",""type"":""selected-interest""},{""id"":""6918434"",""type"":""selected-interest""},{""id"":""6918427"",""type"":""selected-interest""},{""id"":""6918416"",""type"":""selected-interest""},{""id"":""6918410"",""type"":""selected-interest""},{""id"":""6918406"",""type"":""selected-interest""},{""id"":""6918400"",""type"":""selected-interest""},{""id"":""6918386"",""type"":""selected-interest""},{""id"":""6918373"",""type"":""selected-interest""},{""id"":""6918372"",""type"":""selected-interest""},{""id"":""6918370"",""type"":""selected-interest""}]},""sponsors"":{""data"":[]},""selected-sponsor"":{""data"":null}}",
"1062924","attendee","{""pitch"":""My name is Palm, CEO of UpPass, a no-code ID verification form, enabling small & medium-sized BFSI to mitigate online frauds and transform onboarding in a minute. Highly localized for SEA. Aspiring companies in BFSI sector that want to transform into FINTECH/INSURTECH, Let's talk"",""joined-at"":""2022-09-20T07:20:16.224Z"",""skip-networking"":false,""user-id"":""933606"",""bookmarked"":false}","{""user"":{""data"":{""id"":""933606"",""type"":""user""}},""event"":{""data"":{""id"":""6280"",""type"":""event""}},""group"":{""data"":{""id"":""13040"",""type"":""attendee-group""}},""selected-interests"":{""data"":[{""id"":""6891109"",""type"":""selected-interest""},{""id"":""6891085"",""type"":""selected-interest""},{""id"":""6891070"",""type"":""selected-interest""},{""id"":""6891068"",""type"":""selected-interest""},{""id"":""6891060"",""type"":""selected-interest""},{""id"":""6891052"",""type"":""selected-interest""},{""id"":""6891049"",""type"":""selected-interest""},{""id"":""6891036"",""type"":""selected-interest""},{""id"":""6891023"",""type"":""selected-interest""},{""id"":""6891006"",""type"":""selected-interest""},{""id"":""6890998"",""type"":""selected-interest""},{""id"":""6890984"",""type"":""selected-interest""},{""id"":""6890978"",""type"":""selected-interest""},{""id"":""6890966"",""type"":""selected-interest""},{""id"":""6890965"",""type"":""selected-interest""},{""id"":""6890961"",""type"":""selected-interest""},{""id"":""6890939"",""type"":""selected-interest""},{""id"":""6890938"",""type"":""selected-interest""}]},""sponsors"":{""data"":[]},""selected-sponsor"":{""data"":null}}",
